Image,Latitude,Longitude,Altitude,Degrees_Clockwise_from_North,Timestamp
DJI_0395.JPG,42.4441949,-76.4425731,30.4,13.0,2024:11:16 10:32:10
DJI_0396.JPG,42.4442692,-76.4425483,30.3,12.3,2024:11:16 10:32:20
DJI_0397.JPG,42.4443997,-76.4425055,30.5,12.4,2024:11:16 10:32:26
DJI_0398.JPG,42.4445127,-76.4424736,30.6,11.6,2024:11:16 10:32:30
DJI_0399.JPG,42.4446575,-76.442428,30.5,11.8,2024:11:16 10:32:35
DJI_0400.JPG,42.4447558,-76.4423939,30.6,11.8,2024:11:16 10:32:40
DJI_0401.JPG,42.4448854,-76.4423483,30.7,12.7,2024:11:16 10:32:45
DJI_0402.JPG,42.4448839,-76.4423438,30.5,77.3,2024:11:16 10:33:02
DJI_0403.JPG,42.4448949,-76.442217,31.0,77.2,2024:11:16 10:33:08
DJI_0404.JPG,42.4449135,-76.4420842,30.7,77.3,2024:11:16 10:33:13
DJI_0405.JPG,42.444925,-76.4419972,31.0,107.2,2024:11:16 10:33:19
DJI_0406.JPG,42.4448688,-76.441901,30.9,133.4,2024:11:16 10:33:24
DJI_0407.JPG,42.4447989,-76.4418076,31.1,133.1,2024:11:16 10:33:32
DJI_0408.JPG,42.444771,-76.4417742,30.9,133.7,2024:11:16 10:33:37
DJI_0409.JPG,42.4446427,-76.4416856,30.9,162.9,2024:11:16 10:33:42
DJI_0410.JPG,42.4445379,-76.4417259,30.9,-158.6,2024:11:16 10:33:46
DJI_0411.JPG,42.4445286,-76.4418746,31.1,-90.2,2024:11:16 10:33:51
DJI_0412.JPG,42.4445944,-76.4420751,30.9,-63.2,2024:11:16 10:33:58
DJI_0413.JPG,42.444654,-76.4422356,30.3,-63.6,2024:11:16 10:34:06
DJI_0414.JPG,42.4446245,-76.4422645,29.7,-147.5,2024:11:16 10:34:21
DJI_0415.JPG,42.4445626,-76.4423034,29.5,-150.5,2024:11:16 10:34:29
DJI_0416.JPG,42.4445089,-76.4423405,30.6,-150.2,2024:11:16 10:34:41
DJI_0417.JPG,42.4444809,-76.442354,31.0,-156.6,2024:11:16 10:34:48
DJI_0418.JPG,42.4444461,-76.4423448,31.4,164.0,2024:11:16 10:35:01
DJI_0419.JPG,42.4444386,-76.4423332,30.9,143.4,2024:11:16 10:35:12
DJI_0420.JPG,42.4444243,-76.4422964,31.2,116.5,2024:11:16 10:35:18
DJI_0421.JPG,42.444428,-76.4422695,31.0,116.9,2024:11:16 10:35:35
DJI_0422.JPG,42.4444888,-76.4422159,31.0,117.6,2024:11:16 10:35:39
DJI_0423.JPG,42.4445402,-76.4421763,30.8,116.9,2024:11:16 10:35:42
DJI_0424.JPG,42.4445674,-76.4421536,30.9,117.2,2024:11:16 10:35:46
DJI_0425.JPG,42.4446578,-76.4420436,30.9,43.3,2024:11:16 10:35:57
DJI_0426.JPG,42.4446575,-76.4420343,30.5,44.3,2024:11:16 10:36:07
DJI_0427.JPG,42.4446955,-76.4420843,30.6,44.3,2024:11:16 10:36:12
DJI_0428.JPG,42.4447351,-76.442141,30.5,44.6,2024:11:16 10:36:17
DJI_0429.JPG,42.4447909,-76.4422171,30.5,44.4,2024:11:16 10:36:23
DJI_0430.JPG,42.4448298,-76.4421546,30.6,44.3,2024:11:16 10:36:27
DJI_0431.JPG,42.4448475,-76.4420933,30.3,76.1,2024:11:16 10:36:32
DJI_0432.JPG,42.4448572,-76.4420122,30.6,76.6,2024:11:16 10:36:38
DJI_0433.JPG,42.4448035,-76.4419478,30.6,75.6,2024:11:16 10:36:55
DJI_0434.JPG,42.4447481,-76.4418003,30.5,76.3,2024:11:16 10:37:04
DJI_0435.JPG,42.4447055,-76.441775,30.5,75.7,2024:11:16 10:37:08
DJI_0436.JPG,42.4446406,-76.4417431,30.5,76.3,2024:11:16 10:37:13
DJI_0437.JPG,42.4445733,-76.4417691,30.7,-162.0,2024:11:16 10:37:20
DJI_0438.JPG,42.4445838,-76.4418664,30.6,-79.6,2024:11:16 10:37:32
DJI_0439.JPG,42.4446012,-76.4419612,30.4,-80.0,2024:11:16 10:37:38
DJI_0440.JPG,42.4446513,-76.4419415,30.2,-79.4,2024:11:16 10:37:46
DJI_0441.JPG,42.4446284,-76.4418419,30.4,-79.8,2024:11:16 10:37:55
DJI_0442.JPG,42.4446914,-76.4419027,30.5,-80.2,2024:11:16 10:38:08
DJI_0443.JPG,42.4447495,-76.4420122,30.1,-45.8,2024:11:16 10:38:18
DJI_0444.JPG,42.4447899,-76.4420761,29.8,-45.7,2024:11:16 10:38:23
DJI_0445.JPG,42.44473,-76.4422641,29.4,-96.4,2024:11:16 10:38:35
DJI_0446.JPG,42.4439505,-76.4403823,28.5,-106.1,2024:11:16 10:39:31
DJI_0447.JPG,42.4439245,-76.4405107,30.7,-100.5,2024:11:16 10:39:46
DJI_0448.JPG,42.4439105,-76.4406241,30.8,-80.6,2024:11:16 10:39:52
DJI_0449.JPG,42.4439135,-76.4407815,30.8,-86.5,2024:11:16 10:39:59
DJI_0450.JPG,42.4439011,-76.44093,30.7,-85.8,2024:11:16 10:40:04
DJI_0451.JPG,42.4439094,-76.4410529,30.3,-75.3,2024:11:16 10:40:09
DJI_0452.JPG,42.4439185,-76.4411632,30.5,-75.3,2024:11:16 10:40:16
DJI_0453.JPG,42.4439273,-76.4412531,30.4,-75.4,2024:11:16 10:40:22
DJI_0454.JPG,42.4439352,-76.4413391,30.2,-75.2,2024:11:16 10:40:26
DJI_0455.JPG,42.4439414,-76.4414585,30.3,-74.5,2024:11:16 10:40:30
DJI_0456.JPG,42.4439343,-76.4414532,30.1,-75.5,2024:11:16 10:40:37
DJI_0457.JPG,42.4439421,-76.4415094,30.4,-75.4,2024:11:16 10:40:43
DJI_0458.JPG,42.4439532,-76.4416178,30.7,-75.5,2024:11:16 10:40:54
DJI_0459.JPG,42.4439678,-76.4417216,30.3,-74.9,2024:11:16 10:41:01
DJI_0460.JPG,42.4440114,-76.4417894,30.2,-46.3,2024:11:16 10:41:07
DJI_0461.JPG,42.4440502,-76.441849,30.3,-45.8,2024:11:16 10:41:11
DJI_0462.JPG,42.4441052,-76.4419216,30.2,-45.8,2024:11:16 10:41:18
DJI_0463.JPG,42.4441464,-76.4420058,30.3,-45.5,2024:11:16 10:41:23
DJI_0464.JPG,42.4441854,-76.4420699,30.4,-45.4,2024:11:16 10:41:27
DJI_0465.JPG,42.4442438,-76.4421494,30.4,-45.6,2024:11:16 10:41:32
DJI_0466.JPG,42.4443216,-76.442269,30.4,-45.7,2024:11:16 10:41:37
DJI_0467.JPG,42.4443178,-76.4422388,30.4,33.3,2024:11:16 10:41:41
DJI_0468.JPG,42.4444346,-76.4421049,30.4,32.2,2024:11:16 10:41:46
DJI_0469.JPG,42.4444885,-76.442028,30.5,33.6,2024:11:16 10:41:50
DJI_0470.JPG,42.4444235,-76.4418854,30.8,124.3,2024:11:16 10:41:57
DJI_0471.JPG,42.4443653,-76.4417429,31.3,102.2,2024:11:16 10:42:02
DJI_0472.JPG,42.4443719,-76.4416069,30.7,77.0,2024:11:16 10:42:11
DJI_0473.JPG,42.4443867,-76.4414817,30.6,77.0,2024:11:16 10:42:19
DJI_0474.JPG,42.4444024,-76.4413783,30.8,76.9,2024:11:16 10:42:31
DJI_0475.JPG,42.4443553,-76.4413194,30.8,134.5,2024:11:16 10:42:34
DJI_0476.JPG,42.4442739,-76.4412472,30.8,152.3,2024:11:16 10:42:38
DJI_0477.JPG,42.4441732,-76.4411879,31.0,152.5,2024:11:16 10:42:46
DJI_0478.JPG,42.4440954,-76.4410965,30.9,136.3,2024:11:16 10:42:52
DJI_0479.JPG,42.4440309,-76.441014,31.1,136.4,2024:11:16 10:42:57
